created_at,source,text,userid_str,status_id_str,id,reply_userid_str,reply_status_id_str,name,birth,term_partisanship,term_type,term_state
2021-11-26T18:00:01Z,"[{'url': 'https://t.co/fjis6p6H8c', 'expanded_url': 'https://www.space.com/us-needs-nuclear-powered-spacecraft', 'display_url': 'space.com/us-needs-nucle…', 'indices': [155, 178]}]","It's not rocket science that we NEED rocket science to stay ahead of China. We MUST invest in U.S. Space exploration - this is evident now more than ever.
https://t.co/fjis6p6H8c",1262531473057423361,1464292875609550848,6022945,NA,NA,Mike Garcia,1976-04-24,Republican,rep,CA
2021-11-26T20:12:14Z,[],I commend the @WTA for standing up for Chinese tennis star Peng Shuai when other sports leagues like the NBA would have prioritized profits over their people. #WhereIsPengShuai https://t.co/YXhgHC1HQ2,1074480192,1464326149870338053,6022854,NA,NA,Ted Cruz,1970-12-22,Republican,sen,TX
2021-11-26T20:14:36Z,"[{'url': 'https://t.co/d4ME5sNY0W', 'expanded_url': 'https://bit.ly/3FTPwue', 'display_url': 'bit.ly/3FTPwue', 'indices': [91, 114]}]","In this week’s Long’s Short Report, I talk about growing Russian and Chinese aggression. 

https://t.co/d4ME5sNY0W",1444015610,1464326745516089349,6023045,NA,NA,Billy Long,1955-08-11,Republican,rep,MO
2021-11-26T20:40:00Z,[],China is the greatest threat facing our security and prosperity. Now is the time for the Biden Administration to wake up and realize that before it's too late. https://t.co/QPEfGUtsju,797201048490430465,1464333135810678784,6023220,NA,NA,Claudia Tenney,1961-02-04,Republican,rep,NY
2021-11-26T22:21:42Z,[],"Taiwan is a vibrant democracy, an economic powerhouse and a force for good in the world. Despite unprecedented intimidation and threats from China, Taiwan is thriving and has helped lead the world in responding to the COVID-19 pandemic.",1078355119920562176,1464358729911091200,6022867,1078355119920562176,1464358726324953096,Colin Z. Allred,1983-04-15,Democrat,rep,TX
2021-11-27T00:22:18Z,[],"Thank you, @EnesKanter, for speaking truth. The U.S. Olympic Committee must not allow our Team USA athletes to attend the Beijing Olympics under Communist China’s authoritarian leadership. @kilmeade https://t.co/5We04cf2Hb",278145569,1464389080653996039,6023132,NA,NA,Marsha Blackburn,1952-06-06,Republican,sen,TN
2021-11-27T14:41:44Z,"[{'url': 'https://t.co/bnjLUbA5Lp', 'expanded_url': 'https://twitter.com/airforceassoc/status/1461771411652059140', 'display_url': 'twitter.com/airforceassoc/…', 'indices': [289, 312]}]","Our office leads efforts to replace the 50-year old EC-130H/COMPASS CALL electronic warfare aircraft w/the EC-37B. China &amp; Russia have modernized to deny us the use of GPS, radar, &amp; communications. The EC-37B will be a vital capability for decades to come. @AirForceAssoc @AOCrows https://t.co/bnjLUbA5Lp",818975124460335106,1464605362984734725,6023979,NA,NA,Don Bacon,1963-08-16,Republican,rep,NE
2021-11-27T14:45:37Z,"[{'url': 'https://t.co/IzHAQ8yX7j', 'expanded_url': 'https://sanfrancisco.cbslocal.com/2020/02/24/coronavirus-speaker-house-nancy-pelosi-tours-san-franciscos-chinatown/', 'display_url': 'sanfrancisco.cbslocal.com/2020/02/24/cor…', 'indices': [258, 281]}]","@Krogerf “House Speaker Nancy Pelosi walked through San Francisco’s Chinatown District Monday, attempting to quell fears about the current outbreak of the coronavirus that has kept customers out of shops and restaurants and tourists away from the streets.”

https://t.co/IzHAQ8yX7j",975200486,1464606343088775171,6024012,22769557,1464589134119546885,Thomas Massie,1971-01-13,Republican,rep,KY
2021-11-27T14:48:27Z,"[{'url': 'https://t.co/IzHAQ8yX7j', 'expanded_url': 'https://sanfrancisco.cbslocal.com/2020/02/24/coronavirus-speaker-house-nancy-pelosi-tours-san-franciscos-chinatown/', 'display_url': 'sanfrancisco.cbslocal.com/2020/02/24/cor…', 'indices': [260, 283]}]","@BioVisionary House Speaker Nancy Pelosi walked through San Francisco’s Chinatown District Monday, attempting to quell fears about the current outbreak of the coronavirus that has kept customers out of shops and restaurants and tourists away from the streets.
https://t.co/IzHAQ8yX7j",975200486,1464607054446874633,6024011,867813849944268800,1464565255946842112,Thomas Massie,1971-01-13,Republican,rep,KY
2021-11-27T16:37:40Z,"[{'url': 'https://t.co/wBbG5nV3NA', 'expanded_url': 'https://politi.co/3p1Qo9u', 'display_url': 'politi.co/3p1Qo9u', 'indices': [75, 98]}]","#Bipartisan 

U.S. lawmakers visit Taiwan; China conducts military patrols https://t.co/wBbG5nV3NA via @politico",13218102,1464634539003707393,6023644,NA,NA,John Cornyn,1952-02-02,Republican,sen,TX
2021-11-27T18:20:00Z,[],RT if you think that President Biden should care more about helping American energy producers instead of China or Russia.,15751083,1464660291791192066,6023742,NA,NA,Michael C. Burgess,1950-12-23,Republican,rep,TX
2021-11-27T20:50:50Z,"[{'url': 'https://t.co/ZolgzWaIub', 'expanded_url': 'https://twitter.com/reuters/status/1464207306736898050', 'display_url': 'twitter.com/reuters/status…', 'indices': [236, 259]}]","The Chinese Communist Party continues to take American investors for a wild ride—a stark warning of the material &amp; asymmetric risks of investing, directly or indirectly, in companies from a non-market economy controlled by the CCP. https://t.co/ZolgzWaIub",1346873610875654147,1464698253027459073,6023720,NA,NA,Bill Hagerty,1959-08-14,Republican,sen,TN
2021-11-27T21:53:45Z,"[{'url': 'https://t.co/ixReVWfsst', 'expanded_url': 'https://twitter.com/norman_roule/status/1464706691770073090', 'display_url': 'twitter.com/norman_roule/s…', 'indices': [33, 56]}]",China’s belt and road initiative https://t.co/ixReVWfsst,13218102,1464714083123486723,6023641,NA,NA,John Cornyn,1952-02-02,Republican,sen,TX
2021-11-27T22:35:27Z,"[{'url': 'https://t.co/I1PEkTgyhA', 'expanded_url': 'https://twitter.com/tanzaniaupdates/status/1464152041757069321', 'display_url': 'twitter.com/tanzaniaupdate…', 'indices': [93, 116]}]","Communist China’s debt trap diplomacy at work. 

Give them an inch, and they’ll take a mile. https://t.co/I1PEkTgyhA",278145569,1464724579226722306,6023812,NA,NA,Marsha Blackburn,1952-06-06,Republican,sen,TN
2021-11-28T00:10:00Z,[],The policies that we’ve undertaken here in America since Biden took office have driven inflation through the roof. They’ve made America weaker on the international stage. And China has gained at every turn.,1346873610875654147,1464748372120670215,6023717,NA,NA,Bill Hagerty,1959-08-14,Republican,sen,TN
2021-11-28T02:54:50Z,[],"Communist China UNLEASHED Covid into the world.

All variants are Xi variants no matter what WHO says.",1029094268542099457,1464789853527105540,6023513,NA,NA,Lance Gooden,1982-12-01,Republican,rep,TX
2021-11-28T17:24:00Z,[],"Iran, China, and Russia – their recent aggressions on the global stage proves that they have 𝐙𝐄𝐑𝐎 respect for the Biden Administration.",1343258042704527362,1465008586560397314,6024398,NA,NA,Pat Fallon,1967-12-19,Republican,rep,TX
2021-11-29T00:50:00Z,"[{'url': 'https://t.co/PmIUNoyqtw', 'expanded_url': 'https://www.nytimes.com/2021/11/20/world/hunter-biden-china-cobalt.html', 'display_url': 'nytimes.com/2021/11/20/wor…', 'indices': [147, 170]}]","Hunter Biden used his family ties to benefit China by facilitating a Chinese company’s purchase from an American company.  Why am I not surprised?
https://t.co/PmIUNoyqtw",814103950404239360,1465120826181648388,6024672,NA,NA,Brian J. Mast,1980-07-10,Republican,rep,FL
