,model_names,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,accuracy,f1_score,precision,recall,specificity
32,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.899,0.819,0.996,0.138
33,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.824,0.9,0.819,0.999,0.14
34,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.83,0.902,0.832,0.985,0.223
35,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.835,0.905,0.838,0.982,0.259
36,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.839,0.907,0.838,0.988,0.256
37,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.819,0.897,0.817,0.996,0.126
38,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.899,0.819,0.997,0.138
39,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.824,0.9,0.819,1.0,0.135
40,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.836,0.905,0.841,0.98,0.273
41,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.841,0.908,0.841,0.987,0.269
42,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.906,0.838,0.985,0.256
43,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.823,0.9,0.82,0.998,0.141
44,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.899,0.819,0.997,0.136
45,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.822,0.899,0.818,0.998,0.135
46,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.835,0.905,0.835,0.988,0.234
47,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.836,0.905,0.84,0.981,0.269
48,"SVC, KNN, Decision Tree, Random Forest, AdaBoost",random_sampling,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.829,0.902,0.831,0.985,0.217
