,model_name,training_method,balance,sampling_size,sort_by_time,partition_ratio,seed_size,unlabeled_size,test_size,val_score,accuracy,f1_score,precision,recall,specificity
178,Random Forest Classifier,random_sampling,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.84,0.908,0.84,0.987,0.266
179,Random Forest Classifier,random_sampling,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.827,0.843,0.909,0.844,0.984,0.291
180,Random Forest Classifier,random_sampling,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.81,0.84,0.907,0.841,0.984,0.275
181,Random Forest Classifier,active_learning,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.676,0.726,0.748,0.692,0.814,0.638
182,Random Forest Classifier,active_learning,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.721,0.715,0.749,0.67,0.847,0.584
183,Random Forest Classifier,active_learning,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.711,0.72,0.759,0.665,0.884,0.556
184,Random Forest Classifier,active_learning,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.743,0.763,0.757,0.775,0.74,0.785
185,Random Forest Classifier,active_learning,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.743,0.778,0.772,0.795,0.751,0.806
186,Random Forest Classifier,active_learning,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.739,0.814,0.808,0.835,0.783,0.845
187,Random Forest Classifier,active_learning,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.7,0.703,0.733,0.665,0.816,0.589
188,Random Forest Classifier,active_learning,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.697,0.711,0.747,0.664,0.852,0.569
189,Random Forest Classifier,active_learning,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.734,0.754,0.779,0.706,0.87,0.638
190,Random Forest Classifier,active_learning,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.714,0.754,0.75,0.761,0.74,0.767
191,Random Forest Classifier,active_learning,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.76,0.792,0.781,0.823,0.743,0.84
192,Random Forest Classifier,active_learning,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.716,0.804,0.797,0.828,0.768,0.841
193,Random Forest Classifier,active_learning,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.718,0.724,0.751,0.684,0.833,0.614
194,Random Forest Classifier,active_learning,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.703,0.743,0.765,0.705,0.838,0.649
195,Random Forest Classifier,active_learning,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.731,0.742,0.772,0.691,0.874,0.609
196,Random Forest Classifier,active_learning,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.707,0.764,0.757,0.778,0.738,0.789
197,Random Forest Classifier,active_learning,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.722,0.782,0.775,0.801,0.751,0.814
198,Random Forest Classifier,active_learning,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.74,0.816,0.813,0.829,0.797,0.836
199,Random Forest Classifier,active_learning,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.702,0.734,0.753,0.702,0.812,0.655
200,Random Forest Classifier,active_learning,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.69,0.738,0.757,0.707,0.814,0.663
201,Random Forest Classifier,active_learning,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.719,0.742,0.774,0.688,0.884,0.599
202,Random Forest Classifier,active_learning,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.725,0.771,0.767,0.781,0.754,0.789
203,Random Forest Classifier,active_learning,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.721,0.798,0.793,0.812,0.775,0.821
204,Random Forest Classifier,active_learning,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.701,0.812,0.813,0.806,0.821,0.802
205,Random Forest Classifier,active_learning,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.734,0.743,0.763,0.709,0.826,0.661
206,Random Forest Classifier,active_learning,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.694,0.738,0.759,0.703,0.826,0.651
207,Random Forest Classifier,active_learning,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.743,0.751,0.779,0.7,0.879,0.623
208,Random Forest Classifier,active_learning,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.696,0.778,0.772,0.795,0.75,0.806
209,Random Forest Classifier,active_learning,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.698,0.788,0.783,0.802,0.765,0.811
210,Random Forest Classifier,active_learning,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.749,0.821,0.819,0.831,0.807,0.836
211,Random Forest Classifier,active_learning,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.821,0.82,0.898,0.82,0.993,0.143
212,Random Forest Classifier,active_learning,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.821,0.898,0.819,0.994,0.14
213,Random Forest Classifier,active_learning,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.813,0.832,0.904,0.828,0.995,0.193
214,Random Forest Classifier,active_learning,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.803,0.836,0.905,0.839,0.983,0.262
215,Random Forest Classifier,active_learning,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.823,0.834,0.905,0.836,0.986,0.24
216,Random Forest Classifier,active_learning,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.818,0.836,0.905,0.84,0.98,0.271
217,Random Forest Classifier,active_learning,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.81,0.822,0.899,0.82,0.996,0.143
218,Random Forest Classifier,active_learning,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.819,0.825,0.901,0.822,0.996,0.157
219,Random Forest Classifier,active_learning,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.8,0.831,0.903,0.827,0.995,0.188
220,Random Forest Classifier,active_learning,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.842,0.909,0.844,0.985,0.285
221,Random Forest Classifier,active_learning,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.822,0.844,0.91,0.843,0.988,0.278
222,Random Forest Classifier,active_learning,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.79,0.835,0.904,0.841,0.977,0.28
223,Random Forest Classifier,active_learning,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.803,0.823,0.9,0.822,0.993,0.159
224,Random Forest Classifier,active_learning,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.81,0.823,0.899,0.82,0.996,0.143
225,Random Forest Classifier,active_learning,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.814,0.831,0.903,0.829,0.991,0.203
226,Random Forest Classifier,active_learning,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.796,0.843,0.909,0.845,0.983,0.295
227,Random Forest Classifier,active_learning,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.805,0.846,0.911,0.845,0.988,0.291
228,Random Forest Classifier,active_learning,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.802,0.834,0.903,0.84,0.978,0.271
229,Random Forest Classifier,active_learning,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.788,0.829,0.903,0.828,0.992,0.192
230,Random Forest Classifier,active_learning,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.8,0.829,0.903,0.825,0.996,0.174
231,Random Forest Classifier,active_learning,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.812,0.834,0.905,0.83,0.995,0.203
232,Random Forest Classifier,active_learning,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.792,0.844,0.91,0.843,0.988,0.277
233,Random Forest Classifier,active_learning,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.804,0.842,0.909,0.844,0.983,0.291
234,Random Forest Classifier,active_learning,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.812,0.843,0.908,0.848,0.978,0.314
235,Random Forest Classifier,active_learning,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.778,0.835,0.906,0.831,0.997,0.203
236,Random Forest Classifier,active_learning,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.8,0.833,0.904,0.83,0.993,0.203
237,Random Forest Classifier,active_learning,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.808,0.834,0.905,0.831,0.994,0.208
238,Random Forest Classifier,active_learning,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.787,0.847,0.911,0.849,0.982,0.318
239,Random Forest Classifier,active_learning,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.803,0.851,0.913,0.853,0.982,0.337
240,Random Forest Classifier,active_learning,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.811,0.846,0.911,0.848,0.984,0.309
241,Logistic Regression (Ridge),random_sampling,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.7,0.724,0.756,0.677,0.857,0.591
242,Logistic Regression (Ridge),random_sampling,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.731,0.702,0.743,0.653,0.862,0.542
243,Logistic Regression (Ridge),random_sampling,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.718,0.744,0.776,0.689,0.889,0.599
244,Logistic Regression (Ridge),random_sampling,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.753,0.776,0.774,0.781,0.767,0.785
245,Logistic Regression (Ridge),random_sampling,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.739,0.783,0.779,0.794,0.765,0.801
246,Logistic Regression (Ridge),random_sampling,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.745,0.795,0.788,0.814,0.763,0.826
247,Logistic Regression (Ridge),random_sampling,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.74,0.713,0.746,0.67,0.841,0.585
248,Logistic Regression (Ridge),random_sampling,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.743,0.715,0.75,0.669,0.852,0.579
249,Logistic Regression (Ridge),random_sampling,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.787,0.737,0.77,0.684,0.879,0.594
250,Logistic Regression (Ridge),random_sampling,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.728,0.781,0.78,0.783,0.777,0.785
251,Logistic Regression (Ridge),random_sampling,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.729,0.798,0.796,0.803,0.789,0.806
252,Logistic Regression (Ridge),random_sampling,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.727,0.797,0.794,0.806,0.783,0.812
253,Logistic Regression (Ridge),random_sampling,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.73,0.717,0.752,0.67,0.857,0.578
254,Logistic Regression (Ridge),random_sampling,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.715,0.724,0.748,0.688,0.821,0.627
255,Logistic Regression (Ridge),random_sampling,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.737,0.727,0.763,0.674,0.879,0.575
256,Logistic Regression (Ridge),random_sampling,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.718,0.78,0.78,0.779,0.781,0.779
257,Logistic Regression (Ridge),random_sampling,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.751,0.794,0.792,0.801,0.782,0.806
258,Logistic Regression (Ridge),random_sampling,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.753,0.8,0.793,0.82,0.768,0.831
259,Logistic Regression (Ridge),random_sampling,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.693,0.715,0.745,0.674,0.833,0.597
260,Logistic Regression (Ridge),random_sampling,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.751,0.729,0.748,0.698,0.806,0.651
261,Logistic Regression (Ridge),random_sampling,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.739,0.751,0.78,0.698,0.884,0.618
262,Logistic Regression (Ridge),random_sampling,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.727,0.787,0.784,0.794,0.775,0.798
263,Logistic Regression (Ridge),random_sampling,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.76,0.8,0.796,0.813,0.78,0.821
264,Logistic Regression (Ridge),random_sampling,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.724,0.802,0.797,0.817,0.778,0.826
265,Logistic Regression (Ridge),random_sampling,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.734,0.733,0.762,0.687,0.855,0.61
266,Logistic Regression (Ridge),random_sampling,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.724,0.745,0.768,0.704,0.845,0.644
267,Logistic Regression (Ridge),random_sampling,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.767,0.751,0.778,0.702,0.874,0.628
268,Logistic Regression (Ridge),random_sampling,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.732,0.77,0.769,0.773,0.766,0.775
269,Logistic Regression (Ridge),random_sampling,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.754,0.799,0.791,0.822,0.763,0.835
270,Logistic Regression (Ridge),random_sampling,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.74,0.795,0.792,0.802,0.783,0.807
271,Logistic Regression (Ridge),random_sampling,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.832,0.835,0.903,0.846,0.97,0.306
272,Logistic Regression (Ridge),random_sampling,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.827,0.828,0.9,0.839,0.971,0.269
273,Logistic Regression (Ridge),random_sampling,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.838,0.905,0.846,0.973,0.309
274,Logistic Regression (Ridge),random_sampling,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.846,0.835,0.899,0.875,0.925,0.481
275,Logistic Regression (Ridge),random_sampling,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.839,0.837,0.901,0.873,0.931,0.47
276,Logistic Regression (Ridge),random_sampling,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.841,0.903,0.878,0.928,0.498
277,Logistic Regression (Ridge),random_sampling,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.821,0.834,0.903,0.846,0.967,0.312
278,Logistic Regression (Ridge),random_sampling,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.838,0.831,0.902,0.839,0.975,0.266
279,Logistic Regression (Ridge),random_sampling,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.841,0.833,0.902,0.846,0.965,0.314
280,Logistic Regression (Ridge),random_sampling,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.82,0.836,0.9,0.875,0.926,0.481
281,Logistic Regression (Ridge),random_sampling,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.843,0.838,0.902,0.874,0.931,0.475
282,Logistic Regression (Ridge),random_sampling,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.826,0.822,0.891,0.866,0.918,0.444
283,Logistic Regression (Ridge),random_sampling,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.814,0.832,0.902,0.844,0.967,0.3
284,Logistic Regression (Ridge),random_sampling,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.821,0.834,0.904,0.84,0.978,0.271
285,Logistic Regression (Ridge),random_sampling,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.814,0.834,0.903,0.843,0.973,0.29
286,Logistic Regression (Ridge),random_sampling,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.806,0.836,0.9,0.872,0.931,0.465
287,Logistic Regression (Ridge),random_sampling,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.829,0.838,0.901,0.875,0.929,0.479
288,Logistic Regression (Ridge),random_sampling,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.821,0.829,0.895,0.871,0.921,0.469
289,Logistic Regression (Ridge),random_sampling,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.833,0.829,0.9,0.843,0.966,0.293
290,Logistic Regression (Ridge),random_sampling,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.831,0.833,0.902,0.845,0.968,0.305
291,Logistic Regression (Ridge),random_sampling,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.844,0.841,0.906,0.852,0.968,0.343
292,Logistic Regression (Ridge),random_sampling,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.827,0.835,0.9,0.873,0.928,0.473
293,Logistic Regression (Ridge),random_sampling,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.825,0.836,0.901,0.873,0.929,0.472
294,Logistic Regression (Ridge),random_sampling,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.843,0.837,0.9,0.879,0.922,0.502
295,Logistic Regression (Ridge),random_sampling,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.822,0.832,0.902,0.843,0.969,0.293
296,Logistic Regression (Ridge),random_sampling,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.821,0.841,0.906,0.852,0.968,0.344
297,Logistic Regression (Ridge),random_sampling,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.849,0.912,0.856,0.975,0.357
298,Logistic Regression (Ridge),random_sampling,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.818,0.841,0.903,0.877,0.932,0.486
299,Logistic Regression (Ridge),random_sampling,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.851,0.836,0.9,0.876,0.926,0.487
300,Logistic Regression (Ridge),random_sampling,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.826,0.847,0.906,0.887,0.927,0.536
301,Logistic Regression (Ridge),active_learning,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.7,0.724,0.756,0.677,0.857,0.591
302,Logistic Regression (Ridge),active_learning,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.731,0.702,0.743,0.653,0.862,0.542
303,Logistic Regression (Ridge),active_learning,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.718,0.744,0.776,0.689,0.889,0.599
304,Logistic Regression (Ridge),active_learning,True,0,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.753,0.776,0.774,0.781,0.767,0.785
305,Logistic Regression (Ridge),active_learning,True,0,False,"[0.6, 0.2, 0.2]",2474,824,826,0.739,0.783,0.779,0.794,0.765,0.801
306,Logistic Regression (Ridge),active_learning,True,0,False,"[0.8, 0.1, 0.1]",3298,412,414,0.745,0.795,0.788,0.814,0.763,0.826
307,Logistic Regression (Ridge),active_learning,True,50,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.735,0.729,0.756,0.687,0.841,0.616
308,Logistic Regression (Ridge),active_learning,True,50,True,"[0.6, 0.2, 0.2]",2474,824,826,0.754,0.712,0.746,0.667,0.847,0.576
309,Logistic Regression (Ridge),active_learning,True,50,True,"[0.8, 0.1, 0.1]",3298,412,414,0.764,0.746,0.776,0.695,0.879,0.614
310,Logistic Regression (Ridge),active_learning,True,50,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.709,0.784,0.783,0.787,0.779,0.789
311,Logistic Regression (Ridge),active_learning,True,50,False,"[0.6, 0.2, 0.2]",2474,824,826,0.739,0.804,0.8,0.818,0.782,0.826
312,Logistic Regression (Ridge),active_learning,True,50,False,"[0.8, 0.1, 0.1]",3298,412,414,0.725,0.785,0.782,0.792,0.773,0.797
313,Logistic Regression (Ridge),active_learning,True,100,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.737,0.726,0.754,0.684,0.839,0.612
314,Logistic Regression (Ridge),active_learning,True,100,True,"[0.6, 0.2, 0.2]",2474,824,826,0.693,0.707,0.743,0.662,0.845,0.569
315,Logistic Regression (Ridge),active_learning,True,100,True,"[0.8, 0.1, 0.1]",3298,412,414,0.734,0.72,0.756,0.669,0.87,0.57
316,Logistic Regression (Ridge),active_learning,True,100,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.698,0.78,0.779,0.784,0.773,0.787
317,Logistic Regression (Ridge),active_learning,True,100,False,"[0.6, 0.2, 0.2]",2474,824,826,0.734,0.793,0.792,0.795,0.789,0.797
318,Logistic Regression (Ridge),active_learning,True,100,False,"[0.8, 0.1, 0.1]",3298,412,414,0.754,0.79,0.784,0.806,0.763,0.816
319,Logistic Regression (Ridge),active_learning,True,300,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.691,0.729,0.759,0.683,0.855,0.603
320,Logistic Regression (Ridge),active_learning,True,300,True,"[0.6, 0.2, 0.2]",2474,824,826,0.735,0.715,0.744,0.676,0.828,0.603
321,Logistic Regression (Ridge),active_learning,True,300,True,"[0.8, 0.1, 0.1]",3298,412,414,0.732,0.756,0.784,0.704,0.884,0.628
322,Logistic Regression (Ridge),active_learning,True,300,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.721,0.789,0.79,0.785,0.795,0.783
323,Logistic Regression (Ridge),active_learning,True,300,False,"[0.6, 0.2, 0.2]",2474,824,826,0.735,0.793,0.787,0.812,0.763,0.823
324,Logistic Regression (Ridge),active_learning,True,300,False,"[0.8, 0.1, 0.1]",3298,412,414,0.725,0.8,0.795,0.813,0.778,0.821
325,Logistic Regression (Ridge),active_learning,True,600,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.722,0.737,0.761,0.699,0.835,0.64
326,Logistic Regression (Ridge),active_learning,True,600,True,"[0.6, 0.2, 0.2]",2474,824,826,0.751,0.73,0.756,0.69,0.835,0.625
327,Logistic Regression (Ridge),active_learning,True,600,True,"[0.8, 0.1, 0.1]",3298,412,414,0.764,0.746,0.773,0.699,0.865,0.628
328,Logistic Regression (Ridge),active_learning,True,600,False,"[0.5, 0.25, 0.25]",2062,1030,1032,0.726,0.762,0.759,0.768,0.75,0.773
329,Logistic Regression (Ridge),active_learning,True,600,False,"[0.6, 0.2, 0.2]",2474,824,826,0.724,0.786,0.777,0.809,0.748,0.823
330,Logistic Regression (Ridge),active_learning,True,600,False,"[0.8, 0.1, 0.1]",3298,412,414,0.759,0.8,0.794,0.816,0.773,0.826
331,Logistic Regression (Ridge),active_learning,False,0,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.832,0.835,0.903,0.846,0.97,0.306
332,Logistic Regression (Ridge),active_learning,False,0,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.827,0.828,0.9,0.839,0.971,0.269
333,Logistic Regression (Ridge),active_learning,False,0,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.838,0.905,0.846,0.973,0.309
334,Logistic Regression (Ridge),active_learning,False,0,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.846,0.835,0.899,0.875,0.925,0.481
335,Logistic Regression (Ridge),active_learning,False,0,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.839,0.837,0.901,0.873,0.931,0.47
336,Logistic Regression (Ridge),active_learning,False,0,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.837,0.841,0.903,0.878,0.928,0.498
337,Logistic Regression (Ridge),active_learning,False,50,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.816,0.831,0.901,0.844,0.967,0.298
338,Logistic Regression (Ridge),active_learning,False,50,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.83,0.834,0.904,0.842,0.976,0.281
339,Logistic Regression (Ridge),active_learning,False,50,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.836,0.833,0.902,0.847,0.964,0.319
340,Logistic Regression (Ridge),active_learning,False,50,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.816,0.835,0.9,0.874,0.926,0.479
341,Logistic Regression (Ridge),active_learning,False,50,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.84,0.84,0.903,0.874,0.934,0.472
342,Logistic Regression (Ridge),active_learning,False,50,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.822,0.823,0.892,0.867,0.918,0.449
343,Logistic Regression (Ridge),active_learning,False,100,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.814,0.831,0.901,0.843,0.968,0.295
344,Logistic Regression (Ridge),active_learning,False,100,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.821,0.833,0.903,0.84,0.977,0.269
345,Logistic Regression (Ridge),active_learning,False,100,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.813,0.836,0.904,0.845,0.972,0.304
346,Logistic Regression (Ridge),active_learning,False,100,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.805,0.841,0.903,0.877,0.931,0.488
347,Logistic Regression (Ridge),active_learning,False,100,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.824,0.842,0.904,0.877,0.932,0.489
348,Logistic Regression (Ridge),active_learning,False,100,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.817,0.834,0.899,0.873,0.926,0.473
349,Logistic Regression (Ridge),active_learning,False,300,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.818,0.833,0.902,0.846,0.967,0.308
350,Logistic Regression (Ridge),active_learning,False,300,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.827,0.836,0.904,0.845,0.972,0.303
351,Logistic Regression (Ridge),active_learning,False,300,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.842,0.839,0.905,0.849,0.969,0.329
352,Logistic Regression (Ridge),active_learning,False,300,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.806,0.84,0.903,0.876,0.931,0.483
353,Logistic Regression (Ridge),active_learning,False,300,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.815,0.836,0.9,0.874,0.928,0.477
354,Logistic Regression (Ridge),active_learning,False,300,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.827,0.836,0.899,0.877,0.923,0.493
355,Logistic Regression (Ridge),active_learning,False,600,True,"[0.5, 0.25, 0.25]",5073,2536,2538,0.798,0.838,0.906,0.848,0.972,0.316
356,Logistic Regression (Ridge),active_learning,False,600,True,"[0.6, 0.2, 0.2]",6088,2029,2030,0.812,0.841,0.907,0.847,0.976,0.31
357,Logistic Regression (Ridge),active_learning,False,600,True,"[0.8, 0.1, 0.1]",8117,1014,1016,0.838,0.853,0.914,0.857,0.979,0.362
358,Logistic Regression (Ridge),active_learning,False,600,False,"[0.5, 0.25, 0.25]",5073,2536,2538,0.792,0.842,0.903,0.88,0.928,0.504
359,Logistic Regression (Ridge),active_learning,False,600,False,"[0.6, 0.2, 0.2]",6088,2029,2030,0.828,0.842,0.904,0.877,0.933,0.489
360,Logistic Regression (Ridge),active_learning,False,600,False,"[0.8, 0.1, 0.1]",8117,1014,1016,0.826,0.849,0.908,0.888,0.928,0.541
361,Logistic Regression (Lasso),random_sampling,True,0,True,"[0.5, 0.25, 0.25]",2062,1030,1032,0.698,0.715,0.743,0.677,0.824,0.607
362,Logistic Regression (Lasso),random_sampling,True,0,True,"[0.6, 0.2, 0.2]",2474,824,826,0.707,0.711,0.739,0.673,0.818,0.603
363,Logistic Regression (Lasso),random_sampling,True,0,True,"[0.8, 0.1, 0.1]",3298,412,414,0.679,0.722,0.754,0.677,0.85,0.594
